"id","hs4","cpf4","coef"
696,"2904","2014",0.0227027
697,"2905","2014",0.0227027
698,"2906","2014",0.0227027
699,"2907","2014",0.0227027
700,"2908","2014",0.0227027
701,"3899","2014",0.0113514
702,"2909","2014",0.0227027
703,"2910","2014",0.0227027
704,"2911","2014",0.0227027
705,"2912","2014",0.0227027
706,"2913","2014",0.0227027
707,"3823","2014",0.0227027
708,"2914","2014",0.0227027
709,"2915","2014",0.0227027
710,"2916","2014",0.0227027
711,"2917","2014",0.0227027
712,"2918","2014",0.0113514
713,"2919","2014",0.0227027
714,"2920","2014",0.0227027
715,"2921","2014",0.0227027
716,"2922","2014",0.0113514
717,"2924","2014",0.0113514
718,"2925","2014",0.0227027
719,"2926","2014",0.0227027
720,"2927","2014",0.0227027
721,"2928","2014",0.0227027
722,"2929","2014",0.0227027
723,"2930","2014",0.0227027
724,"2931","2014",0.0227027
725,"2932","2014",0.0113514
726,"2933","2014",0.0113514
727,"2934","2014",0.0113514
728,"2939","2014",0.0113514
729,"2942","2014",0.0227027
730,"2999","2014",0.0113514
731,"3807","2014",0.0227027
732,"3806","2014",0.0227027
733,"3805","2014",0.0227027
734,"2207","2014",0.0227027
735,"3803","2014",0.0227027
736,"2799","2014",0.0227027
737,"3802","2014",0.0113514
738,"9920","2014",0.0010811
739,"2707","2014",0.0227027
740,"3101","2015",0.1071429
741,"3102","2015",0.1071429
742,"2834","2015",0.0535714
743,"2808","2015",0.1071429
744,"3104","2015",0.1071429
745,"2899","2015",0.0357143
746,"3103","2015",0.1071429
747,"2814","2015",0.1071429
748,"3199","2015",0.1071429
749,"3105","2015",0.1071429
750,"2827","2015",0.0535714
751,"3909","2016",0.0689655
752,"3908","2016",0.0689655
753,"3907","2016",0.0689655
754,"3905","2016",0.0689655
755,"3906","2016",0.0689655
756,"3904","2016",0.0689655
757,"3999","2016",0.0344828
758,"3901","2016",0.0689655
759,"3902","2016",0.0689655
760,"3903","2016",0.0689655
761,"3914","2016",0.0689655
762,"3913","2016",0.0689655
763,"3912","2016",0.0689655
764,"3911","2016",0.0689655
765,"3910","2016",0.0689655
766,"4099","2017",0.5
767,"4002","2017",0.5
768,"3808","2020",1.0
769,"3212","2030",0.1052632
770,"3215","2030",0.0526316
771,"3207","2030",0.1052632
772,"3208","2030",0.1052632
773,"3209","2030",0.1052632
774,"3210","2030",0.1052632
775,"3211","2030",0.1052632
776,"3814","2030",0.1052632
777,"3213","2030",0.1052632
778,"3214","2030",0.1052632
779,"3405","2041",0.2
780,"3404","2041",0.2
781,"1520","2041",0.2
782,"3402","2041",0.2
783,"3307","2041",0.1
784,"3401","2041",0.1
785,"3303","2042",0.1653543
786,"3307","2042",0.0826772
787,"9920","2042",0.007874
788,"3401","2042",0.0826772
789,"3306","2042",0.1653543
790,"3305","2042",0.1653543
791,"3304","2042",0.1653543
792,"3399","2042",0.1653543
793,"3602","2051",0.1818182
794,"3699","2051",0.0909091
795,"3605","2051",0.1818182
796,"3604","2051",0.1818182
797,"3603","2051",0.1818182
798,"3601","2051",0.1818182
799,"3501","2052",0.1428571
800,"3506","2052",0.4285714
801,"3505","2052",0.2142857
802,"3503","2052",0.2142857
803,"3301","2053",0.5
804,"3302","2053",0.5
805,"3215","2059",0.0207612
806,"3819","2059",0.0415225
807,"3818","2059",0.0415225
808,"3802","2059",0.0207612
809,"3813","2059",0.0415225
810,"3707","2059",0.0415225
811,"3826","2059",0.0415225
812,"3899","2059",0.0207612
813,"3502","2059",0.0207612
814,"3703","2059",0.0415225
815,"3822","2059",0.0415225
816,"3702","2059",0.0415225
817,"1518","2059",0.0415225
818,"3809","2059",0.0415225
819,"3810","2059",0.0415225
820,"3815","2059",0.0415225
821,"3812","2059",0.0415225
822,"3821","2059",0.0415225
823,"3403","2059",0.0415225
824,"3817","2059",0.0415225
825,"3504","2059",0.0415225
826,"3503","2059",0.0207612
827,"3824","2059",0.0103806
828,"3811","2059",0.0415225
829,"3501","2059",0.0138408
830,"3407","2059",0.0415225
831,"3820","2059",0.0415225
832,"3701","2059",0.0415225
833,"5504","2060",0.1333333
834,"5403","2060",0.0666667
835,"5404","2060",0.1333333
836,"5405","2060",0.1333333
837,"5402","2060",0.0666667
838,"5599","2060",0.0666667
839,"5501","2060",0.1333333
840,"5502","2060",0.1333333
841,"5503","2060",0.1333333
842,"2924","2110",0.04
843,"2918","2110",0.04
844,"3001","2110",0.08
845,"2933","2110",0.04
846,"3002","2110",0.04
847,"2934","2110",0.04
848,"2935","2110",0.08
849,"2936","2110",0.08
850,"2937","2110",0.08
851,"2938","2110",0.08
852,"2939","2110",0.04
853,"2940","2110",0.08
854,"2941","2110",0.08
855,"2922","2110",0.04
856,"2923","2110",0.08
857,"2999","2110",0.04
858,"2932","2110",0.04
859,"3002","2120",0.0974478
860,"3824","2120",0.0487239
861,"3004","2120",0.1948956
862,"3006","2120",0.0649652
863,"3005","2120",0.1948956
864,"9920","2120",0.0092807
865,"3099","2120",0.1948956
866,"3003","2120",0.1948956
867,"4011","2211",0.3333333
868,"4013","2211",0.3333333
869,"4006","2211",0.1666667
870,"4012","2211",0.1666667
871,"4015","2219",0.084507
872,"4003","2219",0.084507
873,"4005","2219",0.084507
874,"4006","2219",0.0422535
875,"4007","2219",0.084507
876,"4008","2219",0.084507
877,"4009","2219",0.084507
878,"4010","2219",0.084507
879,"4014","2219",0.084507
880,"4016","2219",0.084507
881,"4017","2219",0.084507
882,"5906","2219",0.084507
883,"6406","2219",0.028169
884,"3920","2221",0.2222222
885,"3917","2221",0.2222222
886,"3921","2221",0.2222222
887,"3999","2221",0.1111111
888,"3916","2221",0.2222222
889,"3923","2222",1.0
890,"3922","2223",0.2857143
891,"3918","2223",0.2857143
892,"3925","2223",0.1428571
893,"5904","2223",0.2857143
894,"6406","2229",0.0666667
895,"9619","2229",0.1
896,"3919","2229",0.2
897,"6506","2229",0.0666667
898,"3924","2229",0.2
899,"9405","2229",0.0666667
900,"9615","2229",0.1
901,"3926","2229",0.2
902,"7005","2311",0.3333333
903,"7003","2311",0.3333333
904,"7004","2311",0.3333333
905,"7009","2312",0.25
906,"7008","2312",0.25
907,"7006","2312",0.25
908,"7007","2312",0.25
909,"7010","2313",0.25
910,"7020","2313",0.25
911,"7013","2313",0.5
912,"7019","2314",1.0
913,"7001","2319",0.0545455
914,"7014","2319",0.1090909
915,"7010","2319",0.0545455
916,"7011","2319",0.1090909
917,"9405","2319",0.0363636
918,"7002","2319",0.1090909
919,"7018","2319",0.1090909
920,"7017","2319",0.1090909
921,"8546","2319",0.0363636
922,"7016","2319",0.1090909
923,"7015","2319",0.1090909
924,"7020","2319",0.0545455
925,"6902","2320",0.2222222
926,"3816","2320",0.2222222
927,"6901","2320",0.2222222
928,"6815","2320",0.1111111
929,"6903","2320",0.2222222
930,"6907","2331",1.0
931,"6905","2332",0.3333333
932,"6906","2332",0.3333333
933,"6904","2332",0.3333333
934,"6912","2341",0.3333333
935,"6913","2341",0.3333333
936,"6911","2341",0.3333333
937,"6910","2342",1.0
938,"8546","2343",0.5
939,"8547","2343",0.5
940,"8505","2344",0.4
941,"6909","2344",0.6
942,"6914","2349",0.6666667
943,"6909","2349",0.3333333
944,"2523","2351",0.6666667
945,"2599","2351",0.3333333
946,"2520","2352",0.25
947,"2522","2352",0.5
948,"2518","2352",0.25
949,"9406","2361",0.4
950,"6810","2361",0.6
951,"6809","2362",1.0
952,"3824","2363",1.0
953,"3824","2364",1.0
954,"6808","2365",0.5
955,"6811","2365",0.5
956,"6809","2369",0.5
957,"6810","2369",0.5
958,"6802","2370",0.3333333
959,"6803","2370",0.3333333
960,"6801","2370",0.3333333
961,"6805","2391",0.5
962,"6804","2391",0.5
963,"2899","2399",0.0384615
964,"6814","2399",0.1153846
965,"6813","2399",0.1153846
966,"6812","2399",0.1153846
967,"2715","2399",0.1153846
968,"3801","2399",0.1153846
969,"2517","2399",0.0576923
970,"2818","2399",0.0384615
971,"6807","2399",0.1153846
972,"6806","2399",0.1153846
973,"6815","2399",0.0576923
974,"7203","2410",0.0413793
975,"7201","2410",0.0413793
976,"7202","2410",0.0413793
977,"7204","2410",0.0206897
978,"7205","2410",0.0413793
979,"7206","2410",0.0413793
980,"7207","2410",0.0413793
981,"7208","2410",0.0413793
982,"7209","2410",0.0413793
983,"7210","2410",0.0413793
984,"7211","2410",0.0206897
985,"7212","2410",0.0206897
986,"7213","2410",0.0413793
987,"7214","2410",0.0413793
988,"7216","2410",0.0137931
989,"7218","2410",0.0413793
990,"7219","2410",0.0413793
991,"7220","2410",0.0206897
992,"7221","2410",0.0413793
993,"7222","2410",0.0137931
994,"7224","2410",0.0413793
995,"7225","2410",0.0413793
996,"7226","2410",0.0206897
997,"7227","2410",0.0413793
998,"7228","2410",0.0206897
999,"7299","2410",0.0413793
1000,"7301","2410",0.0413793
1001,"7302","2410",0.0413793
1002,"7399","2410",0.0206897
1003,"7304","2420",0.3
1004,"7307","2420",0.1
1005,"7305","2420",0.3
1006,"7306","2420",0.3
1007,"7228","2431",0.2307692
1008,"7216","2431",0.1538462
1009,"7222","2431",0.1538462
1010,"7215","2431",0.4615385
1011,"7220","2432",0.25
1012,"7211","2432",0.25
1013,"7226","2432",0.25
1014,"7212","2432",0.25
1015,"7308","2433",0.3333333
1016,"7216","2433",0.3333333
1017,"7222","2433",0.3333333
1018,"7223","2434",0.3333333
1019,"7229","2434",0.3333333
1020,"7217","2434",0.3333333
1021,"7110","2441",0.1538462
1022,"7106","2441",0.1538462
